ID,DATA_LEITURA,TEMPERATURA,UMIDADE,PH,FOSFORO,POTASSIO,BOMBA
1,2025-09-24 16:38:51,29.84,48,6.04,1,1,0
2,2025-09-24 16:48:51,29.74,50,5.69,1,1,0
3,2025-09-24 16:58:51,29.93,47,6.0,1,0,0
4,2025-09-24 17:08:51,30.56,43,5.87,0,1,1
5,2025-09-24 17:18:51,29.63,49,6.59,0,1,0
6,2025-09-24 17:28:51,29.56,47,5.91,1,0,0
7,2025-09-24 17:38:51,29.23,51,5.71,1,1,0
8,2025-09-24 17:48:51,29.62,50,5.75,1,1,0
9,2025-09-24 17:58:51,28.68,51,5.98,1,1,0
10,2025-09-24 18:08:51,29.17,51,5.62,1,1,0
11,2025-09-24 18:18:51,29.76,46,6.02,1,1,0
12,2025-09-24 18:28:51,29.01,51,5.55,0,0,0
13,2025-09-24 18:38:51,29.14,50,5.83,1,1,0
14,2025-09-24 18:48:51,28.62,53,6.15,1,1,0
15,2025-09-24 18:58:51,28.25,49,5.67,1,1,0
16,2025-09-24 19:08:51,27.93,53,5.82,1,0,0
17,2025-09-24 19:18:51,28.45,51,5.74,1,1,0
18,2025-09-24 19:28:51,28.3,52,5.66,1,1,0
19,2025-09-24 19:38:51,27.29,58,6.06,1,1,0
20,2025-09-24 19:48:51,27.29,55,5.94,1,0,0
21,2025-09-24 19:58:51,28.41,49,6.17,1,1,0
22,2025-09-24 20:08:51,27.41,57,5.49,0,0,0
23,2025-09-24 20:18:51,27.35,59,5.98,1,1,0
24,2025-09-24 20:28:51,27.47,55,5.61,1,1,0
25,2025-09-24 20:38:51,27.28,52,5.77,1,1,0
26,2025-09-24 20:48:51,26.3,60,5.8,1,1,0
27,2025-09-24 20:58:51,26.19,59,5.95,1,1,0
28,2025-09-24 21:08:51,26.39,56,6.31,1,1,0
29,2025-09-24 21:18:51,25.25,62,5.41,1,1,0
30,2025-09-24 21:28:51,25.09,64,5.99,1,1,0
31,2025-09-24 21:38:51,24.97,64,5.78,1,1,0
32,2025-09-24 21:48:51,25.52,64,5.69,1,1,0
33,2025-09-24 21:58:51,24.71,66,6.58,0,0,0
34,2025-09-24 22:08:51,25.18,64,6.45,1,1,0
35,2025-09-24 22:18:51,24.72,64,5.77,1,1,0
36,2025-09-24 22:28:51,24.19,74,5.32,1,0,0
37,2025-09-24 22:38:51,23.72,70,6.14,1,1,0
38,2025-09-24 22:48:51,23.85,68,5.96,1,1,0
39,2025-09-24 22:58:51,24.12,66,6.27,1,1,0
40,2025-09-24 23:08:51,23.45,71,5.41,0,1,0
41,2025-09-24 23:18:51,23.6,70,6.31,1,1,0
42,2025-09-24 23:28:51,22.36,73,5.8,1,1,0
43,2025-09-24 23:38:51,22.29,76,5.09,0,1,0
44,2025-09-24 23:48:51,22.85,70,5.85,1,1,0
45,2025-09-24 23:58:51,22.27,75,6.6,0,0,0
46,2025-09-25 00:08:51,21.58,76,5.48,0,0,0
47,2025-09-25 00:18:51,22.55,71,6.09,1,1,0
48,2025-09-25 00:28:51,21.81,76,6.03,1,1,0
49,2025-09-25 00:38:51,21.91,78,6.13,1,0,0
50,2025-09-25 00:48:51,20.68,81,5.27,1,0,0
51,2025-09-25 00:58:51,21.2,75,5.41,1,1,0
52,2025-09-25 01:08:51,20.16,82,5.68,1,1,0
53,2025-09-25 01:18:51,20.76,80,5.78,1,1,0
54,2025-09-25 01:28:51,21.4,75,6.45,1,1,0
55,2025-09-25 01:38:51,20.46,81,5.9,1,0,0
56,2025-09-25 01:48:51,20.95,75,6.39,1,1,0
57,2025-09-25 01:58:51,21.02,78,6.23,1,1,0
58,2025-09-25 02:08:51,20.56,80,6.14,0,1,0
59,2025-09-25 02:18:51,20.69,80,6.11,1,1,0
60,2025-09-25 02:28:51,19.65,83,6.05,1,0,0
61,2025-09-25 02:38:51,20.8,80,5.86,1,1,0
62,2025-09-25 02:48:51,20.33,85,6.18,1,1,0
63,2025-09-25 02:58:51,20.19,81,5.96,1,1,0
64,2025-09-25 03:08:51,19.76,81,5.51,1,1,0
65,2025-09-25 03:18:51,19.69,86,5.75,1,1,0
66,2025-09-25 03:28:51,19.62,86,5.84,1,1,0
67,2025-09-25 03:38:51,20.39,80,5.8,1,1,0
68,2025-09-25 03:48:51,19.9,83,5.35,1,0,0
69,2025-09-25 03:58:51,19.8,80,6.25,1,1,0
70,2025-09-25 04:08:51,20.09,83,6.09,1,1,0
71,2025-09-25 04:18:51,20.15,85,6.01,1,1,0
72,2025-09-25 04:28:51,20.58,77,6.03,1,1,0
73,2025-09-25 04:38:51,19.66,85,6.22,1,1,0
74,2025-09-25 04:48:51,19.88,82,6.52,0,0,0
75,2025-09-25 04:58:51,20.11,83,5.84,1,1,0
76,2025-09-25 05:08:51,21.04,78,5.43,1,0,0
77,2025-09-25 05:18:51,20.87,79,6.05,1,1,0
78,2025-09-25 05:28:51,20.67,78,5.87,1,1,0
79,2025-09-25 05:38:51,21.25,77,5.78,0,1,0
80,2025-09-25 05:48:51,19.77,83,5.72,1,1,0
81,2025-09-25 05:58:51,21.2,82,5.66,1,1,0
82,2025-09-25 06:08:51,21.64,77,5.11,0,0,0
83,2025-09-25 06:18:51,20.65,77,5.64,1,0,0
84,2025-09-25 06:28:51,21.5,76,5.89,1,1,0
85,2025-09-25 06:38:51,20.91,84,6.57,1,0,0
86,2025-09-25 06:48:51,21.0,82,6.49,1,1,0
87,2025-09-25 06:58:51,21.69,76,5.91,1,1,0
88,2025-09-25 07:08:51,20.45,75,6.25,1,1,0
89,2025-09-25 07:18:51,22.13,69,6.13,1,1,0
90,2025-09-25 07:28:51,21.05,81,5.81,1,1,0
91,2025-09-25 07:38:51,22.07,76,6.1,1,0,0
92,2025-09-25 07:48:51,22.26,74,6.14,1,1,0
93,2025-09-25 07:58:51,21.67,77,6.07,1,1,0
94,2025-09-25 08:08:51,23.25,71,6.11,1,1,0
95,2025-09-25 08:18:51,23.4,69,5.53,1,1,0
96,2025-09-25 08:28:51,23.49,71,6.04,1,1,0
97,2025-09-25 08:38:51,23.27,72,6.12,1,1,0
98,2025-09-25 08:48:51,23.91,64,5.56,1,1,0
99,2025-09-25 08:58:51,23.61,64,6.41,1,1,0
